[03:42:45] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[03:42:45] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[03:42:45] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[03:42:45] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[03:42:45] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[03:42:45] [Server thread/INFO]: Starting minecraft server version 1.14.2
[03:42:45] [Server thread/INFO]: Loading properties
[03:42:45] [Server thread/INFO]: Default game type: SURVIVAL
[03:42:45] [Server thread/INFO]: Generating keypair
[03:42:45] [Server thread/INFO]: Starting Minecraft server on *:25566
[03:42:45] [Server thread/INFO]: Using epoll channel type
[03:42:46] [Server thread/INFO]: Preparing level "ModWorld2"
[03:44:13] [Server-Worker-1/INFO]: Preparing spawn area: 60%
[03:44:13] [Server-Worker-1/INFO]: Preparing spawn area: 61%
[03:44:14] [Server-Worker-1/INFO]: Preparing spawn area: 63%
[03:44:14] [Server-Worker-1/INFO]: Preparing spawn area: 65%
[03:44:15] [Server-Worker-1/INFO]: Preparing spawn area: 65%
[03:44:15] [Server-Worker-1/INFO]: Preparing spawn area: 68%
[03:44:16] [Server-Worker-1/INFO]: Preparing spawn area: 69%
[03:44:16] [Server-Worker-1/INFO]: Preparing spawn area: 71%
[03:44:17] [Server-Worker-1/INFO]: Preparing spawn area: 72%
[03:44:17] [Server-Worker-1/INFO]: Preparing spawn area: 73%
[03:44:18] [Server-Worker-1/INFO]: Preparing spawn area: 74%
[03:44:18] [Server-Worker-1/INFO]: Preparing spawn area: 75%
[03:44:19] [Server-Worker-1/INFO]: Preparing spawn area: 77%
[03:44:19] [Server-Worker-1/INFO]: Preparing spawn area: 78%
[03:44:20] [Server-Worker-1/INFO]: Preparing spawn area: 79%
[03:44:20] [Server-Worker-1/INFO]: Preparing spawn area: 81%
[03:44:21] [Server-Worker-1/INFO]: Preparing spawn area: 83%
[03:44:21] [Server-Worker-1/INFO]: Preparing spawn area: 84%
[03:44:22] [Server-Worker-1/INFO]: Preparing spawn area: 86%
[03:44:22] [Server-Worker-1/INFO]: Preparing spawn area: 87%
[03:44:23] [Server-Worker-1/INFO]: Preparing spawn area: 88%
[03:44:23] [Server-Worker-1/INFO]: Preparing spawn area: 89%
[03:44:24] [Server-Worker-1/INFO]: Preparing spawn area: 90%
[03:44:24] [Server-Worker-1/INFO]: Preparing spawn area: 92%
[03:44:25] [Server-Worker-1/INFO]: Preparing spawn area: 93%
[03:44:25] [Server-Worker-1/INFO]: Preparing spawn area: 94%
[03:44:26] [Server-Worker-1/INFO]: Preparing spawn area: 95%
[03:44:26] [Server-Worker-1/INFO]: Preparing spawn area: 96%
[03:44:27] [Server-Worker-1/INFO]: Preparing spawn area: 96%
[03:44:27] [Server-Worker-1/INFO]: Preparing spawn area: 97%
[03:44:28] [Server-Worker-1/INFO]: Preparing spawn area: 99%
[03:44:28] [Server thread/INFO]: Time elapsed: 50714 ms
[03:44:34] [Server thread/INFO]: ThreadedAnvilChunkStorage (ModWorld2): All chunks are saved
[03:44:34] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[03:44:34] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[03:44:34] [Server thread/INFO]: ThreadedAnvilChunkStorage (ModWorld2): All chunks are saved
[03:44:34] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[03:44:34] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
